frame_index,x_pos_mm,y_pos_mm,u_vel_mm/sec,v_vel_mm/sec,sig2noise
0,7.6316,5.999,0.4354,-1.2811,1.1927
0,7.8728,6.2501,0.40985,-1.5105,1.243
0,8.1157,6.503,0.16452,-1.8126,1.1851
0,8.3598,6.7575,0.36313,-1.3534,1.4407
0,3.2132,1.7704,0.39538,-0.33534,1.0041
0,3.4227,1.9958,0.43918,-0.36217,1.0582
0,3.6324,2.2211,0.46236,-0.34881,1.4348
0,3.8425,2.4464,0.50224,-0.40131,1.5061
0,4.0533,2.6719,0.76109,-0.48594,1.548
0,4.2649,2.8979,0.81434,-0.52548,1.5136
0,4.4775,3.1245,0.82311,-0.5753,1.2762
0,4.6912,3.352,0.87319,-0.67997,1.2306
0,4.9063,3.5804,0.84921,-0.60333,1.5088
0,5.123,3.8101,0.6898,-0.68594,1.3895
0,5.3413,4.0413,0.53623,-0.7807,1.4174
0,5.5616,4.274,0.54969,-0.89527,1.282
0,5.7838,4.5085,0.48648,-0.8813,1.3311
0,6.0081,4.7449,0.40401,-0.97106,1.3295
0,6.2347,4.9833,0.37787,-1.0934,1.3144
0,6.4637,5.224,0.38675,-1.1124,1.3028
0,6.695,5.4669,0.42188,-1.1946,1.3727
0,6.9287,5.7121,0.37604,-1.2558,1.3201
0,7.1648,5.9597,0.43245,-1.318,1.2313
0,7.403,6.2096,0.40695,-1.3874,1.1416
0,7.6434,6.4615,0.56338,-1.6103,1.2989
0,7.8854,6.7155,0.43189,-1.4011,1.3056
0,8.1289,6.971,0.37441,-1.2712,1.2933
0,2.9978,1.9735,0.39855,-0.31979,1.0011
0,3.2071,2.1988,0.44112,-0.34588,1.0092
0,3.4166,2.424,0.38298,-0.31356,1.4722
0,3.6265,2.6493,0.61328,-0.44215,1.4201
0,3.837,2.8749,0.74845,-0.45148,1.5191
0,4.0482,3.101,0.75371,-0.46573,1.6355
0,4.2603,3.3278,0.72031,-0.49154,1.4501
0,4.4736,3.5555,0.77438,-0.55655,1.4355
0,4.6881,3.7843,0.70879,-0.62712,1.3573
0,4.9041,4.0143,0.62697,-0.79294,1.3174
0,5.1218,4.2459,0.59241,-0.79716,1.2838
0,5.3413,4.4791,0.55565,-0.7787,1.3707
0,5.5627,4.7141,0.49564,-0.95884,1.2681
0,5.7862,4.9511,0.45488,-1.0053,1.3064
0,6.012,5.1902,0.42526,-1.0654,1.3386
0,6.24,5.4316,0.42789,-1.1521,1.4358
0,6.4704,5.6753,0.43958,-1.2189,1.3814
0,6.7032,5.9214,0.43524,-1.3106,1.3548
0,6.9383,6.1698,0.46298,-1.3416,1.3166
0,7.1756,6.4206,0.45733,-1.3451,1.2405
0,7.415,6.6735,0.43334,-1.3937,1.2288
0,7.6563,6.9284,0.48536,-1.4926,1.3247
0,7.8989,7.185,0.43959,-1.4618,1.233
0,2.7826,2.1763,0.37808,-0.31616,1.0012
0,2.9918,2.4015,0.4232,-0.33736,1.0038
0,3.2012,2.6267,0.38311,-0.28788,1.2748
0,3.4109,2.8521,0.5878,-0.40801,1.3542
0,3.6211,3.0778,0.63696,-0.39477,1.519
0,3.832,3.304,0.75711,-0.44849,1.5555
0,4.0437,3.5311,0.78343,-0.54763,1.3509
0,4.2565,3.7591,0.85148,-0.60612,1.4633
0,4.4706,3.9882,0.7812,-0.71041,1.462
0,4.686,4.2187,0.67174,-0.81264,1.3581
0,4.9031,4.4507,0.58735,-0.76539,1.3264
0,5.1218,4.6844,0.5232,-0.76297,1.4398
0,5.3425,4.92,0.523,-0.99792,1.3484
0,5.5653,5.1577,0.49719,-1.054,1.4635
0,5.7902,5.3975,0.47802,-1.0952,1.4095
0,6.0174,5.6397,0.43623,-1.1299,1.382
0,6.2469,5.8842,0.4147,-1.2259,1.3001
0,6.4787,6.1311,0.45116,-1.3063,1.2823
0,6.7129,6.3805,0.49288,-1.3704,1.3737
0,6.9493,6.6322,0.49077,-1.3237,1.2878
0,7.1878,6.8861,0.44123,-1.2932,1.199
0,7.4281,7.142,0.39648,-1.4611,1.3299
0,7.6699,7.3996,0.45682,-1.4189,1.135
0,2.5674,2.3787,0.35618,-0.30677,1.0043
0,2.7767,2.604,0.41053,-0.32731,1.0885
0,2.986,2.8292,0.3586,-0.28602,1.3662
0,3.1955,3.0547,0.57822,-0.41347,1.4192
0,3.4055,3.2806,0.72887,-0.49096,1.241
0,3.6161,3.5071,0.71348,-0.4126,1.4535
0,3.8275,3.7345,0.71084,-0.45961,1.4151
0,4.0399,3.9628,0.74608,-0.45885,1.4313
0,4.2535,4.1924,0.70952,-0.5493,1.3653
0,4.4685,4.4233,0.74168,-0.76113,1.3454
0,4.6849,4.6559,0.72843,-0.81106,1.308
0,4.9031,4.8902,0.58465,-0.90793,1.3036
0,5.1231,5.1265,0.5875,-0.98586,1.3671
0,5.3451,5.3649,0.47532,-1.0433,1.4133
0,5.5692,5.6055,0.47127,-1.0916,1.4959
0,5.7955,5.8484,0.42911,-1.1545,1.4363
0,6.0242,6.0938,0.43423,-1.1965,1.3968
0,6.2551,6.3416,0.48984,-1.2257,1.2514
0,6.4883,6.5919,0.46235,-1.5899,1.1848
0,6.7238,6.8446,0.40707,-1.3671,1.315
0,6.9614,7.0995,0.4103,-1.2813,1.2679
0,7.2008,7.3564,0.43349,-1.2791,1.2506
0,7.4417,7.615,0.4616,-1.3873,1.066
0,2.3522,2.5811,0.33514,-0.31127,1.0185
0,2.5615,2.8064,0.19164,-0.28653,1.1909
0,2.7707,3.0318,0.32404,-0.28268,1.5359
0,2.9802,3.2575,0.51651,-0.34324,1.3838
